"Code","CoinName","Algorithm","IsTrading","ProofType","TotalCoinsMined","TotalCoinSupply"
"SPRTS","Sprouts","SHA-256",1,"PoW/PoS",0,0
"ZNY","BitZeny","Scrypt",1,"PoW",75614500,250000000
"DIGS","Diggits","Scrypt",1,"PoS",100000000,100000000
"EXP","Expanse","Ethash",1,"PoW",10495278,16906397
"MAPC","MapCoin","X11",1,"PoS",0,2228921.184
"CON","Paycon","X13",1,"PoW/PoS",23042604,50000000
"SC","Siacoin","Blake2b",1,"PoW",33098296530,0
"LYB","LyraBar","Lyra2RE",1,"PoW/PoS",0,0
"EMC","Emercoin","SHA-256",1,"PoW/PoS",43059794.804778,1000000000
"BLITZ","BlitzCoin","X13",1,"PoS",0,3852156
"BHIRE","BitHIRE","Scrypt",0,"PoS",0,42000000
"EGC","EverGreenCoin","X15",1,"PoW/PoS",13530556.4180753,26298000
"MND","MindCoin","X11",1,"PoW",15867695,16000000
"I0C","I0coin","SHA-256",1,"PoW",20997476.8650231,21000000
"DCR","Decred","BLAKE256",1,"PoW/PoS",10365046.9281661,21000000
"DOGED","DogeCoinDark","Scrypt",1,"PoW",0,16500000000
"RVR","Revolution VR","Scrypt",1,"PoW",210000000,210000000
"HODL","HOdlcoin","1GB AES Pattern Search",1,"PoW",11448949,81962100
"EDRC","EDRCoin","SHA-256",1,"PoW/PoS",3669691.84494672,22000000
"HTC","Hitcoin","X11",1,"PoW/PoS",10996318099,26550000000
"GAME","Gamecredits","Scrypt",1,"PoW",69836100,84000000
"DSH","Dashcoin","CryptoNight",1,"PoW",0,18446744
"DBIC","DubaiCoin","SHA-256",1,"PoW/PoS",5129014,10500000
"BIOS","BiosCrypto","Quark",1,"PoW/PoS",0,20190463.5496924
"DIEM","CarpeDiemCoin","SHA-256",1,"PoW",21739971929,21626280000
"RCX","RedCrowCoin","Scrypt",1,"PoW/PoS",0,3966666667
"PWR","PWR Coin","NIST5",1,"PoW/PoS",10069449031.9252,0
"TRUMP","TrumpCoin","Blake",1,"PoS",0,12000000
"BLRY","BillaryCoin","Scrypt",1,"PoW/PoS",8998743.2411911,42000000
"ETHS","EthereumScrypt","Scrypt",1,"PoW/PoS",0,4200000
"PXL","Phalanx","SHA-256",1,"PoW",0,15000000
"SOUL","SoulCoin","Scrypt",1,"PoW/PoS",0,1400000000
"SSTC","SunShotCoin","X11",1,"PoW",0,2250000000
"GPU","GPU Coin","Scrypt",1,"PoS",40477042,221052632
"TAGR","Think And Get Rich Coin","X15",1,"PoW/PoS",0,30700000
"HMP","HempCoin","Scrypt-n",1,"PoW",0,5000000000
"ADZ","Adzcoin","X11",1,"PoW",45110324,84000000
"MYC","MayaCoin","Scrypt",1,"PoW/PoS",0,250000000
"VTA","VirtaCoin","Scrypt",1,"PoW",0,21000000000
"SOIL","SoilCoin","Dagger",1,"PoW",5702048,30000000
"YOC","YoCoin","Scrypt",1,"PoW",636462.55983338,168351300
"UNIT","Universal Currency","SHA-256",1,"PoW/PoS",0,210000000
"AEON","AEON","CryptoNight-Lite",1,"PoW",0,18400000
"SIB","SibCoin","X11GOST",1,"PoW",17263355,24000000
"ERC","EuropeCoin","X11",1,"PoW/PoS",10407269.7881868,384000000
"AIB","AdvancedInternetBlock","Scrypt",1,"PoW",0,314159265359
"XDB","DragonSphere","X11",1,"PoW/PoS",0,21007600
"ANTI","Anti Bitcoin","SHA-256",1,"PoW",0,42000000
"COLX","ColossusCoinXT","X11",1,"PoS",0,21000000000
"MNM","Mineum","X13",1,"PoW/PoS",0,10000000
"ZEIT","ZeitCoin","Scrypt",1,"PoS",36971236046.8073,99000000000
"CGA","Cryptographic Anomaly","Scrypt",1,"PoW",0,10000000000
"SWING","SwingCoin","SHA-256",1,"PoW/PoS",4377081.60953993,40000000
"SAFEX","SafeExchangeCoin","Scrypt",1,"PoC",2147483647,2147483647
"NEBU","Nebuchadnezzar","PoS",1,"PoS",20000000,20000000
"AEC","AcesCoin","X11",1,"PoS",0,98000000
"FRN","Francs","Scrypt",1,"PoW",6570807.65677618,20000000
"ADNT","Aiden","ScryptOG",0,"PoW",84000000,84000000
"N7","Number7","Scrypt",1,"PoW",0,270967742
"CYG","Cygnus","X11",1,"PoW/PoS",0,25885320
"LGBTQ","LGBTQoin","X11",1,"PoW",0,50000000
"UTH","Uther","Dagger",1,"PoW",0,25885320
"MPRO","MediumProject","PoS",1,"PoW",0,250000
"KATZ","KATZcoin","SHA-256D",1,"PoW/PoS",0,100000000
"SPM","Supreme","Scrypt",1,"PoW/PoS",0,88900000
"FLX","Flash","Scrypt",1,"PoW/PoS",0,1000000
"BOLI","BolivarCoin","X11",1,"PoW",13654082.4987998,25000000
"CLUD","CludCoin","Scrypt",1,"PoW",0,100200000
"HVCO","High Voltage Coin","SHA-256",1,"PoW/PoS",0,1700000
"GIZ","GIZMOcoin","X11",1,"PoW/PoS",0,100000
"FUZZ","Fuzzballs","Scrypt",1,"PoW",0,21000000
"SCRT","SecretCoin","X11",1,"PoW/PoS",0,21000000
"XRA","Ratecoin","X11",1,"PoW/PoS",134554941.15119,75000000
"XNX","XanaxCoin","Scrypt",1,"PoW",0,42000000
"DBG","Digital Bullion Gold","PoS",1,"PoS",0,15000000
"WMC","WMCoin","X11",1,"PoS",0,1000000000
"GOTX","GothicCoin","Scrypt",1,"PoW",0,313333333
"SHREK","ShrekCoin","Scrypt",1,"PoW/PoS",0,1246000000
"REV","Revenu","SHA-256",1,"PoW/PoS",1195525,222725000
"PBC","PabyosiCoin","X11",1,"PoW/PoS",0,31500000000
"OBS","Obscurebay","X11",1,"PoW/PoS",0,6562000
"EXIT","ExitCoin","Scrypt",1,"PoW/PoS",0,756000000
"EDUC","EducoinV","Scrypt",1,"PoW/PoS",0,99000000
"CLINT","Clinton","SHA-256",1,"PoW",0,2421227
"CKC","Clockcoin","SHA-256",1,"PoW/PoS",16662820,525000000
"VIP","VIP Tokens","NIST5",1,"PoW/PoS",83450403,90000000
"NXE","NXEcoin","NIST5",1,"PoW/PoS",0,2200000
"ZOOM","ZoomCoin","Lyra2RE",1,"PoW",0,250000
"YOVI","YobitVirtualCoin","SHA-256",1,"PoS",0,22830000
"ORLY","OrlyCoin","X15",1,"PoW/PoS",0,36000000
"KUBOS","KubosCoin","Scrypt",0,"PoW/PoS",0,986898568551
"SAK","SharkCoin","SHA-256",1,"PoW",0,400000000
"EVIL","EvilCoin","X11",1,"PoW/PoS",0,21024000
